departamento,cultivo,anio,semestre,periodo,periodo_num,produccion,area_sembrada,area_cosechada,imputado
casanare,arroz,2020,A,2020A,26,877460.72,158113.0,158023.0,False
casanare,arroz,2020,B,2020B,27,112210.26,18767.0,18767.0,False
casanare,arroz,2021,A,2021A,28,1007936.78,172284.53,170739.53,False
casanare,arroz,2021,B,2021B,29,144630.75,23594.0,23594.0,False
casanare,arroz,2022,A,2022A,30,225682.12,166443.0,36304.0,False
casanare,arroz,2022,B,2022B,31,878122.5599999999,59559.0,154581.0,False
casanare,arroz,2023,A,2023A,32,119276.85,183354.0,20193.0,False
casanare,arroz,2023,B,2023B,33,1028927.86,104342.0,185594.0,False
casanare,arroz,2024,A,2024A,34,120098.12,207751.0,19828.0,False
casanare,arroz,2024,B,2024B,35,1152875.9,92601.0,211144.0,False
cundinamarca,papa,2007,A,2007A,0,538221.0,34585.0,29994.0,False
cundinamarca,papa,2007,B,2007B,1,536464.0,30422.0,28957.0,False
cundinamarca,papa,2008,A,2008A,2,565811.0,31175.0,30562.0,False
cundinamarca,papa,2008,B,2008B,3,475449.0,27057.0,25522.0,False
cundinamarca,papa,2009,A,2009A,4,611859.0,28536.0,27401.0,False
cundinamarca,papa,2009,B,2009B,5,617620.0,30757.0,29023.0,False
cundinamarca,papa,2010,A,2010A,6,765657.0,36701.0,33587.0,False
cundinamarca,papa,2010,B,2010B,7,694202.0,36466.0,34395.0,False
cundinamarca,papa,2011,A,2011A,8,623098.0,35559.0,31632.0,False
cundinamarca,papa,2011,B,2011B,9,602404.0,32689.0,30176.0,False
cundinamarca,papa,2012,A,2012A,10,573145.0,30720.0,27603.0,False
cundinamarca,papa,2012,B,2012B,11,546108.0,27774.0,25718.0,False
cundinamarca,papa,2013,A,2013A,12,567076.0,28924.0,28114.0,False
cundinamarca,papa,2013,B,2013B,13,547575.0,27852.0,25968.0,False
cundinamarca,papa,2014,A,2014A,14,727995.0,33949.0,33046.0,False
cundinamarca,papa,2014,B,2014B,15,658786.0,31153.0,29660.0,False
cundinamarca,papa,2015,A,2015A,16,795983.0,33701.0,32764.0,False
cundinamarca,papa,2015,B,2015B,17,758774.0,32922.0,31241.0,False
cundinamarca,papa,2016,A,2016A,18,833770.0,35628.0,34345.0,False
cundinamarca,papa,2016,B,2016B,19,903913.0,37826.0,36185.0,False
cundinamarca,papa,2017,A,2017A,20,881403.0,36066.0,35192.0,False
cundinamarca,papa,2017,B,2017B,21,916670.0,38226.0,36273.0,False
cundinamarca,papa,2018,A,2018A,22,998412.0,40772.0,40772.0,False
cundinamarca,papa,2018,B,2018B,23,866503.55,36166.95,34921.75,True
cundinamarca,papa,2019,A,2019A,24,829794.0,34110.7,33628.9,False
cundinamarca,papa,2019,B,2019B,25,816337.1,34107.9,33570.5,False
cundinamarca,papa,2020,A,2020A,26,727775.02,33472.6,32085.82,False
cundinamarca,papa,2020,B,2020B,27,763992.95,34254.8,33256.2,False
cundinamarca,papa,2021,A,2021A,28,750385.5,35329.35,34737.05,False
cundinamarca,papa,2021,B,2021B,29,717310.87,33853.7,32697.9,False
cundinamarca,papa,2022,A,2022A,30,701408.75,36630.55,32297.24,False
cundinamarca,papa,2022,B,2022B,31,713650.2,32380.0,32452.8,False
cundinamarca,papa,2023,A,2023A,32,704306.4,38951.6,32437.7,False
cundinamarca,papa,2023,B,2023B,33,785742.3200000001,34624.770000000004,36439.57,False
cundinamarca,papa,2024,A,2024A,34,719734.7,40179.95,32881.8,False
cundinamarca,papa,2024,B,2024B,35,876466.29,39394.05,38484.85,False
boyaca,papa,2007,A,2007A,0,344570.0,22293.0,20660.0,False
boyaca,papa,2007,B,2007B,1,302718.0,21879.0,19359.0,False
boyaca,papa,2008,A,2008A,2,391084.0,24997.0,23454.0,False
boyaca,papa,2008,B,2008B,3,313636.0,19763.0,19110.0,False
boyaca,papa,2009,A,2009A,4,472832.0,27626.0,26563.0,False
boyaca,papa,2009,B,2009B,5,362983.0,22155.0,20330.0,False
boyaca,papa,2010,A,2010A,6,466168.0,29117.0,27213.0,False
boyaca,papa,2010,B,2010B,7,368564.0,21460.0,20711.0,False
boyaca,papa,2011,A,2011A,8,399848.0,28628.0,25151.0,False
boyaca,papa,2011,B,2011B,9,342585.0,20925.0,19836.0,False
boyaca,papa,2012,A,2012A,10,407907.0,25534.0,23511.0,False
boyaca,papa,2012,B,2012B,11,310815.0,18597.0,17817.0,False
boyaca,papa,2013,A,2013A,12,439919.0,26228.0,25633.0,False
boyaca,papa,2013,B,2013B,13,393501.0,23422.0,21998.0,False
boyaca,papa,2014,A,2014A,14,455982.0,27284.0,25408.0,False
boyaca,papa,2014,B,2014B,15,409598.0,23507.0,22440.0,False
boyaca,papa,2015,A,2015A,16,413446.0,25938.0,23774.0,False
boyaca,papa,2015,B,2015B,17,312415.0,21265.0,19589.0,False
boyaca,papa,2016,A,2016A,18,469310.0,27075.0,24236.0,False
boyaca,papa,2016,B,2016B,19,488200.0,25514.0,24578.0,False
boyaca,papa,2017,A,2017A,20,465765.0,26298.0,23592.0,False
boyaca,papa,2017,B,2017B,21,394132.0,21570.0,20353.0,False
boyaca,papa,2018,A,2018A,22,551769.0,28380.0,28380.0,False
boyaca,papa,2018,B,2018B,23,456991.3,23641.75,22725.93,True
boyaca,papa,2019,A,2019A,24,557958.06,27659.5,26718.66,False
boyaca,papa,2019,B,2019B,25,519850.6,25713.5,25098.86,False
boyaca,papa,2020,A,2020A,26,541020.39,28544.6,26966.26,False
boyaca,papa,2020,B,2020B,27,511781.46,25424.5,24748.96,False
boyaca,papa,2021,A,2021A,28,525140.77,25771.18,25202.03,False
boyaca,papa,2021,B,2021B,29,464633.05,24310.5,23817.11,False
boyaca,papa,2022,A,2022A,30,507133.6,26005.5,24832.45,False
boyaca,papa,2022,B,2022B,31,436044.1,24111.3,21838.65,False
boyaca,papa,2023,A,2023A,32,475585.09,27426.9,22938.3,False
boyaca,papa,2023,B,2023B,33,487058.25,24287.3,23588.18,False
boyaca,papa,2024,A,2024A,34,460910.03,24686.5,22451.0,False
boyaca,papa,2024,B,2024B,35,531516.3,25189.25,24131.7,False
narino,papa,2007,A,2007A,0,228082.0,14464.0,12337.0,False
narino,papa,2007,B,2007B,1,275519.0,15177.0,14592.0,False
narino,papa,2008,A,2008A,2,228616.0,12895.0,12665.0,False
narino,papa,2008,B,2008B,3,223029.0,11955.0,11871.0,False
narino,papa,2009,A,2009A,4,308124.0,16233.0,16015.0,False
narino,papa,2009,B,2009B,5,291267.0,17019.0,16769.0,False
narino,papa,2010,A,2010A,6,281713.0,16410.0,16056.0,False
narino,papa,2010,B,2010B,7,260684.0,15817.0,14732.0,False
narino,papa,2011,A,2011A,8,290207.0,16072.0,15353.0,False
narino,papa,2011,B,2011B,9,294894.0,15783.0,15617.0,False
narino,papa,2012,A,2012A,10,296528.0,16488.0,15661.0,False
narino,papa,2012,B,2012B,11,242223.0,14161.4,13732.4,False
narino,papa,2013,A,2013A,12,281050.0,19618.0,18771.0,False
narino,papa,2013,B,2013B,13,244440.0,17380.0,17019.0,False
narino,papa,2014,A,2014A,14,274319.0,14686.0,13802.0,False
narino,papa,2014,B,2014B,15,257925.0,13699.0,13238.0,False
narino,papa,2015,A,2015A,16,361776.0,20347.0,19485.0,False
narino,papa,2015,B,2015B,17,312115.0,19038.0,17706.0,False
narino,papa,2016,A,2016A,18,360540.0,18364.0,17919.0,False
narino,papa,2016,B,2016B,19,343368.0,17818.0,17398.0,False
narino,papa,2017,A,2017A,20,319243.0,18540.0,16413.0,False
narino,papa,2017,B,2017B,21,315715.0,16090.0,15660.0,False
narino,papa,2018,A,2018A,22,415346.0,20360.0,20360.0,False
narino,papa,2018,B,2018B,23,366253.72,18571.5,17735.0,True
narino,papa,2019,A,2019A,24,443667.5,20191.5,19835.4,False
narino,papa,2019,B,2019B,25,416792.44,21053.0,19810.0,False
narino,papa,2020,A,2020A,26,538140.2,25315.0,24231.5,False
narino,papa,2020,B,2020B,27,522297.0,25883.9,25282.5,False
narino,papa,2021,A,2021A,28,432241.36,22839.1,19863.2,False
narino,papa,2021,B,2021B,29,413319.98,22195.8,22090.7,False
narino,papa,2022,A,2022A,30,452994.02,20461.7,21624.6,False
narino,papa,2022,B,2022B,31,455154.16,21271.7,19571.5,False
narino,papa,2023,A,2023A,32,434212.66,20475.8,19347.6,False
narino,papa,2023,B,2023B,33,344578.55,22020.3,16492.7,False
narino,papa,2024,A,2024A,34,417073.2,19954.0,19313.5,False
narino,papa,2024,B,2024B,35,363526.4,19558.0,18483.5,False
